,/devices#IntGW-01/metrics/disk-device-write-latency,/devices#IntGW-01/metrics/cpu,/devices#IntGW-02/metrics/cpu,type,type_code,/time
48,287615371221.0,2.552139572e+16,2.366629066e+16,node-down,1,2020-06-29 02:41:00
49,0.0,2.552152632e+16,2.366642126e+16,node-down,1,2020-06-29 02:42:00
50,0.0,2.552165761e+16,2.366655177e+16,node-down,1,2020-06-29 02:43:00
51,0.0,2.552178918e+16,2.366668301e+16,node-down,1,2020-06-29 02:44:00
52,287625021998.0,2.552191971e+16,2.366681359e+16,node-up,2,2020-06-29 02:45:00
53,287625021998.0,2.552206906e+16,2.366696366e+16,node-up,2,2020-06-29 02:46:00
54,0.0,2.552222088e+16,2.366711703e+16,node-up,2,2020-06-29 02:47:00
55,0.0,2.552237302e+16,2.36672707e+16,node-up,2,2020-06-29 02:48:00
56,287628329378.0,2.55225246e+16,2.366742364e+16,node-up,2,2020-06-29 02:49:00
57,287628329378.0,2.552267519e+16,2.366757651e+16,node-up,2,2020-06-29 02:50:00
58,0.0,2.552282339e+16,2.366772738e+16,interface-down,3,2020-06-29 02:51:00
59,0.0,2.55229682e+16,2.366787823e+16,interface-down,3,2020-06-29 02:52:00
60,287636496357.0,2.552311453e+16,2.36680312e+16,interface-down,3,2020-06-29 02:53:00
61,287637686624.0,2.552326089e+16,2.36681833e+16,interface-down,3,2020-06-29 02:54:00
62,0.0,2.552340729e+16,2.366833581e+16,interface-down,3,2020-06-29 02:55:00
63,287637686624.0,2.552355889e+16,2.366848911e+16,interface-up,4,2020-06-29 02:56:00
64,0.0,2.552371067e+16,2.366864198e+16,interface-up,4,2020-06-29 02:57:00
65,287637686624.0,2.552386388e+16,2.366879625e+16,interface-up,4,2020-06-29 02:58:00
66,0.0,2.552401589e+16,2.366894969e+16,interface-up,4,2020-06-29 02:59:00
67,0.0,2.552416641e+16,2.366910217e+16,interface-up,4,2020-06-29 03:00:00
68,287641168672.0,2.552431518e+16,2.366925455e+16,interface-down,3,2020-06-29 03:01:00
69,287642143090.0,2.552445958e+16,2.366940603e+16,interface-down,3,2020-06-29 03:02:00
70,287648018613.0,2.552460467e+16,2.366955837e+16,interface-down,3,2020-06-29 03:03:00
71,0.0,2.552475104e+16,2.366971025e+16,interface-down,3,2020-06-29 03:04:00
72,0.0,2.552489606e+16,2.3669863e+16,interface-down,3,2020-06-29 03:05:00
73,0.0,2.552504527e+16,2.367001467e+16,interface-up,4,2020-06-29 03:06:00
74,0.0,2.552519683e+16,2.367016637e+16,interface-up,4,2020-06-29 03:07:00
75,0.0,2.552534809e+16,2.367031968e+16,interface-up,4,2020-06-29 03:08:00
76,287652346252.0,2.552550012e+16,2.367047282e+16,interface-up,4,2020-06-29 03:09:00
77,287652346252.0,2.552565098e+16,2.367062594e+16,interface-up,4,2020-06-29 03:10:00
78,287652346252.0,2.552580124e+16,2.367077863e+16,interface-down,3,2020-06-29 03:11:00
79,287652346252.0,2.552594442e+16,2.36709307e+16,interface-down,3,2020-06-29 03:12:00
80,0.0,2.552609116e+16,2.367108323e+16,interface-down,3,2020-06-29 03:13:00
81,287662049922.0,2.552623416e+16,2.36712348e+16,interface-down,3,2020-06-29 03:14:00
82,0.0,2.552637688e+16,2.367138556e+16,interface-down,3,2020-06-29 03:15:00
83,0.0,2.552652192e+16,2.367153648e+16,interface-up,4,2020-06-29 03:16:00
84,0.0,2.552667483e+16,2.367168817e+16,interface-up,4,2020-06-29 03:17:00
85,0.0,2.552682666e+16,2.367184058e+16,interface-up,4,2020-06-29 03:18:00
86,0.0,2.552697766e+16,2.367199266e+16,interface-up,4,2020-06-29 03:19:00
87,0.0,2.552712874e+16,2.367214511e+16,interface-up,4,2020-06-29 03:20:00
88,0.0,2.552727808e+16,2.367229818e+16,interface-down,3,2020-06-29 03:21:00
89,287665179617.0,2.552740534e+16,2.367244407e+16,interface-down,3,2020-06-29 03:22:00
90,287672978274.0,2.552753358e+16,2.367259115e+16,interface-down,3,2020-06-29 03:23:00
91,0.0,2.552766129e+16,2.36727376e+16,interface-down,3,2020-06-29 03:24:00
92,0.0,2.552778797e+16,2.367288337e+16,interface-down,3,2020-06-29 03:25:00
93,287681402461.0,2.552791579e+16,2.367302973e+16,interface-up,4,2020-06-29 03:26:00
94,0.0,2.552805902e+16,2.367318062e+16,interface-up,4,2020-06-29 03:27:00
95,0.0,2.552820998e+16,2.367333254e+16,interface-up,4,2020-06-29 03:28:00
96,0.0,2.552836194e+16,2.367348578e+16,interface-up,4,2020-06-29 03:29:00
97,287685203550.0,2.552851372e+16,2.367363964e+16,interface-up,4,2020-06-29 03:30:00
98,287685203550.0,2.552866573e+16,2.367379252e+16,interface-down,3,2020-06-29 03:31:00
99,0.0,2.552879796e+16,2.367394458e+16,interface-down,3,2020-06-29 03:32:00
100,287693405410.0,2.552892996e+16,2.367409496e+16,interface-down,3,2020-06-29 03:33:00
101,0.0,2.552906152e+16,2.367424556e+16,interface-down,3,2020-06-29 03:34:00
102,0.0,2.552919283e+16,2.367439643e+16,interface-down,3,2020-06-29 03:35:00
103,287694336228.0,2.552932429e+16,2.367454695e+16,interface-down,3,2020-06-29 03:36:00
104,0.0,2.55294678e+16,2.367469939e+16,interface-up,4,2020-06-29 03:37:00
105,287694336228.0,2.552961885e+16,2.367485033e+16,interface-up,4,2020-06-29 03:38:00
106,0.0,2.552976997e+16,2.367500114e+16,interface-up,4,2020-06-29 03:39:00
107,0.0,2.55299212e+16,2.367515393e+16,interface-up,4,2020-06-29 03:40:00
108,0.0,2.553007248e+16,2.367530553e+16,interface-up,4,2020-06-29 03:41:00
109,287697592452.0,2.55302234e+16,2.367545548e+16,interface-down,3,2020-06-29 03:42:00
110,287697592452.0,2.553037491e+16,2.36756033e+16,interface-down,3,2020-06-29 03:43:00
111,0.0,2.553052709e+16,2.367575163e+16,interface-down,3,2020-06-29 03:44:00
112,0.0,2.553067945e+16,2.367590109e+16,interface-down,3,2020-06-29 03:45:00
113,0.0,2.553083085e+16,2.367604714e+16,interface-down,3,2020-06-29 03:46:00
114,287704184940.0,2.553098086e+16,2.367619728e+16,interface-up,4,2020-06-29 03:47:00
115,0.0,2.553113073e+16,2.367634795e+16,interface-up,4,2020-06-29 03:48:00
116,287707598656.0,2.553128016e+16,2.367649752e+16,interface-up,4,2020-06-29 03:49:00
117,287707598656.0,2.553143075e+16,2.367664834e+16,interface-up,4,2020-06-29 03:50:00
118,287707598656.0,2.553158263e+16,2.367680002e+16,interface-up,4,2020-06-29 03:51:00
119,287707598656.0,2.553173462e+16,2.36769525e+16,interface-down,3,2020-06-29 03:52:00
120,287707598656.0,2.553188646e+16,2.36770986e+16,interface-down,3,2020-06-29 03:53:00
121,0.0,2.553203803e+16,2.367724495e+16,interface-down,3,2020-06-29 03:54:00
122,287714752784.0,2.553218847e+16,2.367739087e+16,interface-down,3,2020-06-29 03:55:00
123,287714752784.0,2.553233951e+16,2.367753655e+16,interface-down,3,2020-06-29 03:56:00
124,287714752784.0,2.553249008e+16,2.367768869e+16,interface-up,4,2020-06-29 03:57:00
125,287714752784.0,2.553264218e+16,2.367784133e+16,interface-up,4,2020-06-29 03:58:00
126,0.0,2.553279549e+16,2.367799418e+16,interface-up,4,2020-06-29 03:59:00
127,0.0,2.553294856e+16,2.367814756e+16,interface-up,4,2020-06-29 04:00:00
128,287718691768.0,2.553310022e+16,2.367829954e+16,interface-up,4,2020-06-29 04:01:00
129,0.0,2.55332513e+16,2.367845126e+16,interface-down,3,2020-06-29 04:02:00
130,0.0,2.553340218e+16,2.367859523e+16,interface-down,3,2020-06-29 04:03:00
131,287726622431.0,2.553355205e+16,2.367873859e+16,interface-down,3,2020-06-29 04:04:00
132,287726622431.0,2.553370115e+16,2.367888477e+16,interface-down,3,2020-06-29 04:05:00
133,0.0,2.553385127e+16,2.36790278e+16,interface-down,3,2020-06-29 04:06:00
134,0.0,2.55340017e+16,2.367917613e+16,interface-up,4,2020-06-29 04:07:00
135,287726622431.0,2.55341534e+16,2.367932958e+16,interface-up,4,2020-06-29 04:08:00
136,287730867454.0,2.553430562e+16,2.367948345e+16,interface-up,4,2020-06-29 04:09:00
137,0.0,2.553445731e+16,2.367963727e+16,interface-up,4,2020-06-29 04:10:00
138,287730867454.0,2.553460947e+16,2.367978971e+16,interface-up,4,2020-06-29 04:11:00
139,287730867454.0,2.553476142e+16,2.367994216e+16,interface-down,3,2020-06-29 04:12:00
140,0.0,2.553490929e+16,2.368006754e+16,interface-down,3,2020-06-29 04:13:00
141,287738313705.0,2.553505684e+16,2.368019327e+16,interface-down,3,2020-06-29 04:14:00
142,287738313705.0,2.553520352e+16,2.368031793e+16,interface-down,3,2020-06-29 04:15:00
143,0.0,2.553534953e+16,2.368044237e+16,interface-down,3,2020-06-29 04:16:00
144,0.0,2.553549592e+16,2.368056707e+16,interface-up,4,2020-06-29 04:17:00
145,0.0,2.553564586e+16,2.368070757e+16,interface-up,4,2020-06-29 04:18:00
146,287741683662.0,2.553579864e+16,2.368086034e+16,interface-up,4,2020-06-29 04:19:00
147,0.0,2.553595077e+16,2.36810133e+16,interface-up,4,2020-06-29 04:20:00
148,0.0,2.553610349e+16,2.368116575e+16,interface-up,4,2020-06-29 04:21:00
149,287741683662.0,2.553625685e+16,2.368131876e+16,interface-up,4,2020-06-29 04:22:00
150,287741683662.0,2.553640915e+16,2.368145306e+16,interface-down,3,2020-06-29 04:23:00
151,287747751325.0,2.553656034e+16,2.368158389e+16,interface-down,3,2020-06-29 04:24:00
152,0.0,2.553671043e+16,2.368171291e+16,interface-down,3,2020-06-29 04:25:00
153,287747751325.0,2.553686023e+16,2.368184333e+16,interface-down,3,2020-06-29 04:26:00
154,0.0,2.553700932e+16,2.368197395e+16,interface-down,3,2020-06-29 04:27:00
155,287755922106.0,2.553716025e+16,2.368211283e+16,interface-up,4,2020-06-29 04:28:00
156,0.0,2.553731199e+16,2.368226506e+16,interface-up,4,2020-06-29 04:29:00
157,287761060338.0,2.553746304e+16,2.3682417e+16,interface-up,4,2020-06-29 04:30:00
158,0.0,2.553761493e+16,2.368256923e+16,interface-up,4,2020-06-29 04:31:00
159,287761060338.0,2.553776643e+16,2.368272139e+16,interface-up,4,2020-06-29 04:32:00
160,0.0,2.553791849e+16,2.368287378e+16,interface-down,3,2020-06-29 04:33:00
161,287768232516.0,2.553806978e+16,2.368302663e+16,interface-down,3,2020-06-29 04:34:00
162,0.0,2.553822107e+16,2.368317915e+16,interface-down,3,2020-06-29 04:35:00
163,0.0,2.553837182e+16,2.368332897e+16,interface-down,3,2020-06-29 04:36:00
164,287768232516.0,2.553852406e+16,2.368348168e+16,interface-down,3,2020-06-29 04:37:00
165,0.0,2.553867331e+16,2.368363209e+16,interface-up,4,2020-06-29 04:38:00
166,0.0,2.553882378e+16,2.368378234e+16,interface-up,4,2020-06-29 04:39:00
167,287771755004.0,2.553897365e+16,2.368393271e+16,interface-up,4,2020-06-29 04:40:00
168,287771755004.0,2.553912488e+16,2.368408412e+16,interface-up,4,2020-06-29 04:41:00
169,0.0,2.553927682e+16,2.368423724e+16,interface-up,4,2020-06-29 04:42:00
170,0.0,2.553942881e+16,2.368438973e+16,interface-down,3,2020-06-29 04:43:00
171,287779516419.0,2.553958051e+16,2.368454249e+16,interface-down,3,2020-06-29 04:44:00
172,0.0,2.553973184e+16,2.368469449e+16,interface-down,3,2020-06-29 04:45:00
173,0.0,2.553988241e+16,2.368484618e+16,interface-down,3,2020-06-29 04:46:00
174,287779516419.0,2.55400325e+16,2.368499755e+16,interface-down,3,2020-06-29 04:47:00
175,0.0,2.554018435e+16,2.368514925e+16,interface-up,4,2020-06-29 04:48:00
176,0.0,2.554033566e+16,2.368530085e+16,interface-up,4,2020-06-29 04:49:00
177,0.0,2.554048727e+16,2.368545225e+16,interface-up,4,2020-06-29 04:50:00
178,0.0,2.554063895e+16,2.368560453e+16,interface-up,4,2020-06-29 04:51:00
179,0.0,2.554079059e+16,2.368575706e+16,interface-up,4,2020-06-29 04:52:00
180,0.0,2.554093647e+16,2.368590905e+16,interface-down,3,2020-06-29 04:53:00
181,287790128082.0,2.55410643e+16,2.368605588e+16,interface-down,3,2020-06-29 04:54:00
182,287790128082.0,2.554119204e+16,2.368620122e+16,interface-down,3,2020-06-29 04:55:00
183,0.0,2.554131944e+16,2.368634676e+16,interface-down,3,2020-06-29 04:56:00
184,287790128082.0,2.554144783e+16,2.368649311e+16,interface-down,3,2020-06-29 04:57:00
185,0.0,2.554157529e+16,2.368663799e+16,interface-up,4,2020-06-29 04:58:00
186,0.0,2.554172505e+16,2.368679145e+16,interface-up,4,2020-06-29 04:59:00
187,0.0,2.554187674e+16,2.368694408e+16,interface-up,4,2020-06-29 05:00:00
188,0.0,2.554202791e+16,2.368709598e+16,interface-up,4,2020-06-29 05:01:00
189,0.0,2.554217769e+16,2.368724795e+16,interface-up,4,2020-06-29 05:02:00
190,0.0,2.55423285e+16,2.368739924e+16,interface-down,3,2020-06-29 05:03:00
191,287800981250.0,2.554247547e+16,2.368752569e+16,interface-down,3,2020-06-29 05:04:00
192,287800981250.0,2.55426212e+16,2.368765048e+16,interface-down,3,2020-06-29 05:05:00
193,287800981250.0,2.554276978e+16,2.368777602e+16,interface-down,3,2020-06-29 05:06:00
194,0.0,2.554291631e+16,2.368790136e+16,interface-down,3,2020-06-29 05:07:00
195,287800981250.0,2.554306193e+16,2.368802672e+16,interface-up,4,2020-06-29 05:08:00
196,0.0,2.554321263e+16,2.368816972e+16,interface-up,4,2020-06-29 05:09:00
197,0.0,2.554336267e+16,2.368832031e+16,interface-up,4,2020-06-29 05:10:00
198,287804729646.0,2.554351352e+16,2.368847106e+16,interface-up,4,2020-06-29 05:11:00
199,0.0,2.554366424e+16,2.368862272e+16,interface-up,4,2020-06-29 05:12:00
200,0.0,2.5543815e+16,2.36887736e+16,interface-up,4,2020-06-29 05:13:00
201,0.0,2.554396535e+16,2.368892377e+16,interface-down,3,2020-06-29 05:14:00
202,287812166593.0,2.554411549e+16,2.368907519e+16,interface-down,3,2020-06-29 05:15:00
203,287812166593.0,2.554426584e+16,2.368922632e+16,interface-down,3,2020-06-29 05:16:00
204,0.0,2.554441588e+16,2.368937727e+16,interface-down,3,2020-06-29 05:17:00
205,287812166593.0,2.554456754e+16,2.368952988e+16,interface-down,3,2020-06-29 05:18:00
206,0.0,2.554471962e+16,2.368968309e+16,interface-up,4,2020-06-29 05:19:00
207,0.0,2.55448721e+16,2.368983667e+16,interface-up,4,2020-06-29 05:20:00
208,0.0,2.554502408e+16,2.368998876e+16,interface-up,4,2020-06-29 05:21:00
209,0.0,2.554517636e+16,2.369014163e+16,interface-up,4,2020-06-29 05:22:00
210,0.0,2.554532801e+16,2.369029376e+16,interface-up,4,2020-06-29 05:23:00
211,0.0,2.554546504e+16,2.369042906e+16,interface-down,3,2020-06-29 05:24:00
212,0.0,2.554559178e+16,2.369055462e+16,interface-down,3,2020-06-29 05:25:00
213,0.0,2.554571889e+16,2.369067962e+16,interface-down,3,2020-06-29 05:26:00
214,287843110103.0,2.55458455e+16,2.369080536e+16,interface-down,3,2020-06-29 05:27:00
215,0.0,2.554597288e+16,2.369093044e+16,interface-down,3,2020-06-29 05:28:00
216,0.0,2.554610653e+16,2.369106296e+16,interface-up,4,2020-06-29 05:29:00
217,0.0,2.55462577e+16,2.369121473e+16,interface-up,4,2020-06-29 05:30:00
218,0.0,2.554640955e+16,2.369136693e+16,interface-up,4,2020-06-29 05:31:00
219,0.0,2.554656062e+16,2.369151925e+16,interface-up,4,2020-06-29 05:32:00
220,0.0,2.554671298e+16,2.369167178e+16,interface-up,4,2020-06-29 05:33:00
221,0.0,2.55468639e+16,2.369182564e+16,interface-down,3,2020-06-29 05:34:00
222,287855568917.0,2.554701463e+16,2.369197827e+16,interface-down,3,2020-06-29 05:35:00
223,287855568917.0,2.5547167e+16,2.369213126e+16,interface-down,3,2020-06-29 05:36:00
224,287855568917.0,2.554731838e+16,2.369228395e+16,interface-down,3,2020-06-29 05:37:00
225,287855568917.0,2.554747099e+16,2.369243671e+16,interface-down,3,2020-06-29 05:38:00
226,287866659850.0,2.554762395e+16,2.369259034e+16,interface-up,4,2020-06-29 05:39:00
227,0.0,2.55477742e+16,2.369274072e+16,interface-up,4,2020-06-29 05:40:00
228,0.0,2.554792542e+16,2.36928924e+16,interface-up,4,2020-06-29 05:41:00
229,0.0,2.554807657e+16,2.369304452e+16,interface-up,4,2020-06-29 05:42:00
230,0.0,2.554822772e+16,2.369319686e+16,interface-up,4,2020-06-29 05:43:00
231,0.0,2.554837594e+16,2.369334968e+16,interface-down,3,2020-06-29 05:44:00
232,0.0,2.554850762e+16,2.369350038e+16,interface-down,3,2020-06-29 05:45:00
233,0.0,2.554863978e+16,2.369365121e+16,interface-down,3,2020-06-29 05:46:00
234,287874746613.0,2.55487714e+16,2.369380249e+16,interface-down,3,2020-06-29 05:47:00
235,287874746613.0,2.554890235e+16,2.369395333e+16,interface-down,3,2020-06-29 05:48:00
236,287877807697.0,2.554903471e+16,2.369410468e+16,interface-up,4,2020-06-29 05:49:00
237,0.0,2.554917855e+16,2.369425591e+16,interface-up,4,2020-06-29 05:50:00
238,0.0,2.55493291e+16,2.369440718e+16,interface-up,4,2020-06-29 05:51:00
239,287878163972.0,2.554948014e+16,2.369455915e+16,interface-up,4,2020-06-29 05:52:00
240,0.0,2.554963126e+16,2.369471058e+16,interface-up,4,2020-06-29 05:53:00
241,287885746280.0,2.554978416e+16,2.36948638e+16,interface-down,3,2020-06-29 05:54:00
242,0.0,2.554993398e+16,2.369499412e+16,interface-down,3,2020-06-29 05:55:00
243,0.0,2.555008205e+16,2.369512473e+16,interface-down,3,2020-06-29 05:56:00
244,0.0,2.555023216e+16,2.369525509e+16,interface-down,3,2020-06-29 05:57:00
245,0.0,2.555038159e+16,2.369538553e+16,interface-down,3,2020-06-29 05:58:00
246,0.0,2.555053212e+16,2.369551643e+16,interface-up,4,2020-06-29 05:59:00
247,287889143916.0,2.55506823e+16,2.369565969e+16,interface-up,4,2020-06-29 06:00:00
248,0.0,2.555083262e+16,2.369581059e+16,interface-up,4,2020-06-29 06:01:00
249,0.0,2.555098382e+16,2.36959631e+16,interface-up,4,2020-06-29 06:02:00
250,287890383005.0,2.555113509e+16,2.369611596e+16,interface-up,4,2020-06-29 06:03:00
251,287897620882.0,2.555128581e+16,2.369626735e+16,interface-up,4,2020-06-29 06:04:00
252,287897620882.0,2.555143688e+16,2.369641831e+16,interface-down,3,2020-06-29 06:05:00
253,287897620882.0,2.555158641e+16,2.369656866e+16,interface-down,3,2020-06-29 06:06:00
254,0.0,2.555173639e+16,2.369671954e+16,interface-down,3,2020-06-29 06:07:00
255,0.0,2.555188765e+16,2.369687216e+16,interface-down,3,2020-06-29 06:08:00
256,287900770956.0,2.555203843e+16,2.369702377e+16,interface-down,3,2020-06-29 06:09:00
257,287901035482.0,2.555218911e+16,2.369717583e+16,interface-up,4,2020-06-29 06:10:00
258,0.0,2.555234111e+16,2.369732864e+16,interface-up,4,2020-06-29 06:11:00
259,287901035482.0,2.555249238e+16,2.369748065e+16,interface-up,4,2020-06-29 06:12:00
260,0.0,2.555264367e+16,2.369763332e+16,interface-up,4,2020-06-29 06:13:00
261,0.0,2.555279428e+16,2.3697786e+16,interface-up,4,2020-06-29 06:14:00
262,0.0,2.555293395e+16,2.369792445e+16,interface-down,3,2020-06-29 06:15:00
263,287908301768.0,2.555306485e+16,2.369805542e+16,interface-down,3,2020-06-29 06:16:00
264,0.0,2.555319658e+16,2.369818646e+16,interface-down,3,2020-06-29 06:17:00
265,0.0,2.55533286e+16,2.369831802e+16,interface-down,3,2020-06-29 06:18:00
266,0.0,2.555346029e+16,2.369844789e+16,interface-down,3,2020-06-29 06:19:00
267,0.0,2.555359933e+16,2.369858716e+16,interface-up,4,2020-06-29 06:20:00
268,287911585911.0,2.555375017e+16,2.369873813e+16,interface-up,4,2020-06-29 06:21:00
269,287911585911.0,2.555390094e+16,2.369889018e+16,interface-up,4,2020-06-29 06:22:00
270,0.0,2.55540528e+16,2.369904327e+16,interface-up,4,2020-06-29 06:23:00
271,287917975034.0,2.555420455e+16,2.36991957e+16,interface-up,4,2020-06-29 06:24:00
272,0.0,2.555435532e+16,2.36993481e+16,interface-down,3,2020-06-29 06:25:00
273,0.0,2.555450661e+16,2.369950027e+16,interface-down,3,2020-06-29 06:26:00
274,0.0,2.555465795e+16,2.369965381e+16,interface-down,3,2020-06-29 06:27:00
275,0.0,2.555480901e+16,2.36998062e+16,interface-down,3,2020-06-29 06:28:00
276,0.0,2.555496028e+16,2.369995825e+16,interface-down,3,2020-06-29 06:29:00
277,0.0,2.555511159e+16,2.370011091e+16,interface-up,4,2020-06-29 06:30:00
278,0.0,2.555526293e+16,2.370026308e+16,interface-up,4,2020-06-29 06:31:00
279,0.0,2.55554148e+16,2.370041546e+16,interface-up,4,2020-06-29 06:32:00
280,0.0,2.555556621e+16,2.370056759e+16,interface-up,4,2020-06-29 06:33:00
281,287930542378.0,2.555571743e+16,2.370072002e+16,interface-up,4,2020-06-29 06:34:00
282,0.0,2.555586855e+16,2.370087182e+16,tap-loss-start,5,2020-06-29 06:35:00
283,0.0,2.555601863e+16,2.370102419e+16,tap-loss-start,5,2020-06-29 06:36:00
284,287930542378.0,2.555616781e+16,2.370117564e+16,tap-loss-start,5,2020-06-29 06:37:00
285,287930542378.0,2.555631869e+16,2.370132919e+16,tap-loss-start,5,2020-06-29 06:38:00
286,0.0,2.555646949e+16,2.37014822e+16,tap-loss-start,5,2020-06-29 06:39:00
287,0.0,2.555661921e+16,2.370163427e+16,tap-loss-stop,6,2020-06-29 06:40:00
288,0.0,2.555677e+16,2.370178632e+16,tap-loss-stop,6,2020-06-29 06:41:00
289,0.0,2.555692079e+16,2.370193771e+16,tap-loss-stop,6,2020-06-29 06:42:00
290,287937219612.0,2.555707198e+16,2.370208918e+16,tap-loss-stop,6,2020-06-29 06:43:00
291,287944676650.0,2.555722389e+16,2.370224219e+16,tap-loss-stop,6,2020-06-29 06:44:00
292,287944676650.0,2.555737485e+16,2.370239496e+16,tap-loss-stop,6,2020-06-29 06:45:00
293,0.0,2.555752534e+16,2.370254641e+16,tap-loss-start,5,2020-06-29 06:46:00
294,0.0,2.555767316e+16,2.370269698e+16,tap-loss-start,5,2020-06-29 06:47:00
295,0.0,2.555782186e+16,2.370284781e+16,tap-loss-start,5,2020-06-29 06:48:00
296,287954219598.0,2.5557972e+16,2.370300134e+16,tap-loss-start,5,2020-06-29 06:49:00
297,0.0,2.555812178e+16,2.370315313e+16,tap-loss-start,5,2020-06-29 06:50:00
298,287954630124.0,2.555827216e+16,2.370330585e+16,tap-loss-stop,6,2020-06-29 06:51:00
299,287954630124.0,2.55584234e+16,2.370345887e+16,tap-loss-stop,6,2020-06-29 06:52:00
300,0.0,2.555857559e+16,2.370361121e+16,tap-loss-stop,6,2020-06-29 06:53:00
301,287960742937.0,2.55587283e+16,2.370376466e+16,tap-loss-stop,6,2020-06-29 06:54:00
302,0.0,2.555887867e+16,2.370391597e+16,tap-loss-stop,6,2020-06-29 06:55:00
303,0.0,2.555902849e+16,2.370406655e+16,tap-loss-start,5,2020-06-29 06:56:00
304,0.0,2.555917609e+16,2.370421845e+16,tap-loss-start,5,2020-06-29 06:57:00
